Namespace(withAug=True, AugDirect=20, method_name='Cheb', seed=100, GPUdevice=0, IsDirectedData=False, dataset='cora_ml/', undirect_dataset='Cora', MakeImbalance=True, CustomizeMask=False, K=2, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
CUDA Device Index: 0
excel_file_path is  TrueAug_Cheb_Cora_output.xlsx
12-19-22:44:05
Dataset is  Cora() 
Chosen from DirectedData:  False
Num of bidrected edges: 5278, total num of edges: 10556
This is directed graph:  False
data_x torch.Size([2708, 1433])
split:  0
ChebModelBen(
  (conv1): ChebConv(1433, 2, K=2, normalization=sym)
  (conv2): ChebConv(2, 2, K=2, normalization=sym)
  (Conv): Conv1d(2, 7, kernel_size=(1,), stride=(1,))
)
Epoch:77, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:78, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:79, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:80, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:81, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:82, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:83, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:84, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:85, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:86, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:87, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:88, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:89, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:90, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:91, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:92, test_Acc: 31.80, test_bacc: 14.24, test_f1: 6.90
Epoch:93, test_Acc: 33.10, test_bacc: 15.48, test_f1: 9.06
Epoch:94, test_Acc: 36.50, test_bacc: 18.85, test_f1: 13.26
Epoch:95, test_Acc: 36.30, test_bacc: 18.65, test_f1: 13.11
Epoch:96, test_Acc: 36.80, test_bacc: 19.15, test_f1: 13.54
Epoch:97, test_Acc: 36.80, test_bacc: 19.15, test_f1: 13.54
Epoch:98, test_Acc: 37.60, test_bacc: 19.94, test_f1: 14.11
Epoch:99, test_Acc: 37.60, test_bacc: 19.94, test_f1: 14.11
Epoch:100, test_Acc: 37.90, test_bacc: 20.24, test_f1: 14.35
Epoch:101, test_Acc: 37.90, test_bacc: 20.24, test_f1: 14.35
Epoch:102, test_Acc: 38.80, test_bacc: 21.13, test_f1: 14.84
Epoch:103, test_Acc: 38.80, test_bacc: 21.13, test_f1: 14.84
Epoch:104, test_Acc: 39.10, test_bacc: 21.48, test_f1: 15.05
Epoch:105, test_Acc: 39.10, test_bacc: 21.48, test_f1: 15.05
Epoch:106, test_Acc: 39.80, test_bacc: 22.18, test_f1: 15.51
Epoch:107, test_Acc: 39.80, test_bacc: 22.18, test_f1: 15.51
Epoch:108, test_Acc: 40.20, test_bacc: 22.57, test_f1: 15.68
Epoch:109, test_Acc: 40.20, test_bacc: 22.57, test_f1: 15.68
Epoch:110, test_Acc: 40.30, test_bacc: 22.67, test_f1: 15.59
Epoch:111, test_Acc: 40.30, test_bacc: 22.67, test_f1: 15.59
Epoch:112, test_Acc: 40.50, test_bacc: 22.87, test_f1: 15.49
Epoch:113, test_Acc: 40.50, test_bacc: 22.87, test_f1: 15.49
Epoch:114, test_Acc: 41.00, test_bacc: 23.37, test_f1: 15.65
Epoch:115, test_Acc: 41.00, test_bacc: 23.37, test_f1: 15.65
Epoch:116, test_Acc: 41.20, test_bacc: 23.57, test_f1: 15.52
Epoch:117, test_Acc: 41.20, test_bacc: 23.57, test_f1: 15.52
Epoch:118, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:119, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:120, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:121, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:122, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:123, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:124, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:125, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:126, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:127, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:128, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:129, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:130, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:131, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:132, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:133, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:134, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:135, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:136, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:137, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:138, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:139, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:140, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:141, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:142, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:143, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:144, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:145, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:146, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:147, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:148, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:149, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:150, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:151, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:152, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:153, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:154, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:155, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:156, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:157, test_Acc: 41.30, test_bacc: 23.67, test_f1: 15.53
Epoch:158, test_Acc: 43.10, test_bacc: 26.60, test_f1: 16.76
Epoch:159, test_Acc: 43.10, test_bacc: 26.60, test_f1: 16.76
Epoch:160, test_Acc: 43.20, test_bacc: 26.77, test_f1: 17.09
Epoch:161, test_Acc: 43.20, test_bacc: 26.77, test_f1: 17.09
Epoch:162, test_Acc: 43.20, test_bacc: 26.77, test_f1: 17.09
Epoch:163, test_Acc: 43.20, test_bacc: 26.77, test_f1: 17.09
Epoch:164, test_Acc: 43.30, test_bacc: 26.94, test_f1: 17.52
Epoch:165, test_Acc: 43.30, test_bacc: 26.94, test_f1: 17.52
Epoch:166, test_Acc: 43.30, test_bacc: 26.94, test_f1: 17.52
Epoch:167, test_Acc: 41.10, test_bacc: 23.48, test_f1: 17.19
Epoch:168, test_Acc: 43.10, test_bacc: 26.85, test_f1: 17.47
Epoch:169, test_Acc: 40.80, test_bacc: 23.17, test_f1: 16.85
Epoch:170, test_Acc: 43.30, test_bacc: 27.01, test_f1: 17.72
Epoch:171, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:172, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:173, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:174, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:175, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:176, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:177, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:178, test_Acc: 41.80, test_bacc: 24.24, test_f1: 18.27
Epoch:179, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:180, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:181, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:182, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:183, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:184, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:185, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:186, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:187, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:188, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:189, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:190, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:191, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:192, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:193, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:194, test_Acc: 42.00, test_bacc: 24.47, test_f1: 18.59
Epoch:195, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:196, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:197, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:198, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:199, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:200, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:201, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:202, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:203, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:204, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:205, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:206, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:207, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:208, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:209, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:210, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:211, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:212, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:213, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:214, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:215, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:216, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:217, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:218, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:219, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:220, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:221, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:222, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:223, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:224, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:225, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:226, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:227, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:228, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:229, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:230, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:231, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:232, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:233, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:234, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:235, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:236, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:237, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:238, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:239, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:240, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:241, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:242, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:243, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:244, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:245, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:246, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:247, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:248, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:249, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:250, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:251, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:252, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:253, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:254, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:255, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:256, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:257, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:258, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:259, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:260, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:261, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:262, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:263, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:264, test_Acc: 41.80, test_bacc: 24.52, test_f1: 19.46
Epoch:265, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:266, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:267, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:268, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:269, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:270, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:271, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:272, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
Epoch:273, test_Acc: 41.50, test_bacc: 24.28, test_f1: 19.41
