cuda:0
Namespace(withAug=True, AugDirect=20, method_name='GIN', seed=100, IsDirectedData=True, dataset='WikipediaNetwork/chameleon', undirect_dataset='CiteSeer', MakeImbalance=True, CustomizeMask=False, heads=8, log_root='../logs/', log_path='test', data_path='../dataset/data/tmp/', epochs=1500, num_filter=2, p_q=0.95, p_inter=0.1, dropout=0.0, debug=False, new_setting=False, layer=2, lr=0.005, l2=0.0005, to_undirected=False, alpha=0.1, randomseed=-1, imb_ratio=100, n_layer=2, feat_dim=64, warmup=5, epoch=900, tau=2, max=False, no_mask=False, gdc='ppr')
dataset is  WikipediaNetwork
Dataset is  WikipediaNetwork() 
Chosen from DirectedData:  True
Num of bidrected edges: 4680, total num of edges: 36101
This is directed graph:  True
data_x torch.Size([2277, 2325])
cuda:0
splits 10
0
cuda:0
Time consumed in this epoch:  6.664767742156982
Time consumed in this epoch:  7.56679892539978
Time consumed in this epoch:  7.779946565628052
Time consumed in this epoch:  7.337687015533447
Time consumed in this epoch:  7.805842399597168
Time consumed in this epoch:  7.328311920166016
Time consumed in this epoch:  8.442044258117676
Time consumed in this epoch:  8.213411092758179
Time consumed in this epoch:  7.364602088928223
Time consumed in this epoch:  7.409080505371094
Time consumed in this epoch:  8.301179647445679
Time consumed in this epoch:  8.032733917236328
Time consumed in this epoch:  6.849248886108398
Time consumed in this epoch:  8.572856187820435
Time consumed in this epoch:  7.544345855712891
Time consumed in this epoch:  8.414371967315674
Time consumed in this epoch:  8.838137149810791
Time consumed in this epoch:  6.93168568611145
Time consumed in this epoch:  6.601417779922485
Time consumed in this epoch:  8.272055387496948
Time consumed in this epoch:  6.729280710220337
Time consumed in this epoch:  7.605454444885254
Time consumed in this epoch:  7.6784961223602295
Time consumed in this epoch:  8.486358165740967
Time consumed in this epoch:  7.084482669830322
Time consumed in this epoch:  7.99039626121521
Time consumed in this epoch:  6.19327974319458
Time consumed in this epoch:  8.453560829162598
Time consumed in this epoch:  6.71622633934021
Time consumed in this epoch:  7.720289945602417
Time consumed in this epoch:  7.871298551559448
Time consumed in this epoch:  7.809159517288208
Time consumed in this epoch:  6.983980655670166
Time consumed in this epoch:  8.970150709152222
Time consumed in this epoch:  8.275360345840454
Time consumed in this epoch:  8.403970718383789
Time consumed in this epoch:  7.291992902755737
Time consumed in this epoch:  7.716038227081299
Time consumed in this epoch:  6.867078065872192
Time consumed in this epoch:  8.505084037780762
Time consumed in this epoch:  8.773450136184692
Time consumed in this epoch:  8.08182430267334
Time consumed in this epoch:  7.946441411972046
Time consumed in this epoch:  6.121286153793335
Time consumed in this epoch:  8.809524297714233
Time consumed in this epoch:  9.316700458526611
Time consumed in this epoch:  7.372726917266846
Time consumed in this epoch:  7.603121280670166
Time consumed in this epoch:  7.299412488937378
Time consumed in this epoch:  8.49439549446106
Time consumed in this epoch:  7.5918192863464355
Time consumed in this epoch:  7.532934665679932
Time consumed in this epoch:  8.13556981086731
Time consumed in this epoch:  8.258681535720825
Time consumed in this epoch:  8.69798731803894
Time consumed in this epoch:  8.409693956375122
Time consumed in this epoch:  7.095861911773682
Time consumed in this epoch:  7.456951856613159
Time consumed in this epoch:  6.984954357147217
Time consumed in this epoch:  7.327744960784912
Time consumed in this epoch:  7.34565806388855
Time consumed in this epoch:  9.233356952667236
Time consumed in this epoch:  7.930099010467529
Time consumed in this epoch:  7.994630336761475
Time consumed in this epoch:  8.255539655685425
Time consumed in this epoch:  9.528349161148071
Time consumed in this epoch:  7.153097629547119
Time consumed in this epoch:  8.36355209350586
Time consumed in this epoch:  8.015417337417603
Time consumed in this epoch:  8.36410927772522
Time consumed in this epoch:  5.510522127151489
Time consumed in this epoch:  8.826756000518799
Time consumed in this epoch:  7.753003120422363
Time consumed in this epoch:  8.500707387924194
Time consumed in this epoch:  7.577744245529175
Time consumed in this epoch:  9.17146110534668
Time consumed in this epoch:  7.414844274520874
Time consumed in this epoch:  7.347092151641846
Early stop at epoch:  513
split: 0, test_Acc: 24.56, test_bacc: 23.35, test_f1: 13.58
1
cuda:0
Time consumed in this epoch:  14.841410636901855
Time consumed in this epoch:  12.160368204116821
Time consumed in this epoch:  14.289913654327393
Time consumed in this epoch:  14.095271348953247
Time consumed in this epoch:  13.514932632446289
Time consumed in this epoch:  13.579049348831177
Time consumed in this epoch:  7.980073690414429
Time consumed in this epoch:  7.434605121612549
Time consumed in this epoch:  9.23442006111145
Time consumed in this epoch:  7.822256326675415
Time consumed in this epoch:  7.472816467285156
Time consumed in this epoch:  7.869107246398926
Time consumed in this epoch:  8.083187818527222
Time consumed in this epoch:  7.213648319244385
Time consumed in this epoch:  7.6065850257873535
Time consumed in this epoch:  6.498405456542969
Time consumed in this epoch:  8.256479263305664
Time consumed in this epoch:  8.393526554107666
Time consumed in this epoch:  8.158540487289429
Time consumed in this epoch:  6.473790884017944
Time consumed in this epoch:  7.001123428344727
Time consumed in this epoch:  8.071003437042236
Time consumed in this epoch:  7.0694780349731445
Time consumed in this epoch:  8.77630066871643
